gene_id	0148a96e-972e-4762-9a75-ee2791dc3d95	02438862-cd89-48db-a2d0-1f07678d5673	08096d6f-0f8c-4107-b86a-61eb10feaddd	18dd389b-b0b7-43f7-877f-0fb8e3471af0	1cc55d09-ac11-4cd5-a970-879d884ba666	26490a5f-6d48-4864-a1ab-7caa14924c73	2B0BABA1-90EF-47AD-9910-44B522F7182D	2BC6743C-DC3D-4693-B5D2-F55381712D7F	2C8CB0D0-2E13-4EC6-B097-F82645D47B2E	2a2472eb-3407-495a-b7c0-d4a73c99e669	34dda809-a7af-411f-ab80-b021b077eaf9	39BC85C4-E9AC-40E3-8932-7AA4AFB27B84	44a2e59d-3084-49eb-9516-aac67072ff12	47039a8f-de54-4ff9-84e2-6c1cdcd97dc0	4ab212b1-2a55-4850-8610-8a3c96ed0c1b	4bdf2f0f-68b6-494f-95ec-659f5a2ab85c	4c1d10e6-c86a-4139-94f6-185a97377550	4fe8f85b-b46a-4e29-b152-8f46cfbd09ae	842A5261-5E7F-4AD7-A426-0CE48E937919	84fb7b6d-d38e-41b5-86e4-bb66266da91b	88E25F76-1B1F-4AFB-AB08-215D4F7F08B5	8eb57b3e-64eb-408d-ad2d-1ff2c0e69506	90E7F816-EAD8-413D-A5C4-3BB5B3C48461	955f7278-0d9c-4a27-8ca2-f05714e4bf48	995d2980-f6c2-4336-8f7f-4e2e4e387cf7	9CE6D6B5-0457-4127-99C8-0A5632B8BEE2	9D3DFA06-4C69-49A8-93C2-EE54AAB7B2D8	9a367db3-3cbf-4231-b6ea-686981433787	A2834ABA-B6C1-4E62-8682-D6FC9D093E49	A4153890-D27B-4F55-A5E5-5204B7F59392	A8AE9773-3287-43E4-A18A-1ACE7291E83F	A9522B26-CB18-4BDE-B2A4-8EF4701C29D8	BEDFA47C-8383-4AAF-A609-F96850B414A2	C262A55B-8CF2-4C47-A867-F010361E22AC	C5B06E27-6E58-4555-84D9-B14078219E18	a5e6c3d1-f729-4393-864b-f153863aec46	a9574e45-5dee-46f3-87db-f7e859b67cab	aa0338ae-c4e7-4f20-9be7-347aa5a2d8f2	b854167d-42a2-4144-92ee-0229536d4cea	c5fafb87-e6d6-409e-9872-117798b3d4c4	cd4545b1-1add-488f-80dc-17edaeb7cad6	cfd4785f-1844-4274-8892-e2e558cb112a	d5887688-b311-4ddc-84d4-538750849401	e59deb12-6554-4a53-80ee-ebebe64e851c	eb23bf14-0f53-4e8c-9d50-2d9743a620c3	ee665717-a903-44bc-8eaa-afb46bd4edf0	ff555cad-2ab4-425b-83b5-c56ac20905a8
ENSG00000138075.7	0.0107780658826	0.00852810989686	0.0379696370117	0.0520558594437	0.00190370576448	0.0109512050464	0.0235327327206	0.0165597703206	0.0280167454272	0.00163186449251	0	0.00786223106598	0.0207968578439	0.0286548462593	0.00726991018412	0.00797730085717	0.0476291530225	0.0244277172817	0.0289240487287	0.0624060261175	0.00385219153173	0.0112627884193	0.0511038425263	0.035324189923	0.0658375120548	0.0236436594334	0.0335528939025	0	0.00812413403048	0.0660170995286	0.0137122142593	0.0339508204711	0.0453299960568	0.00912180456502	0.00981051403092	0.0183451960062	0.0105142969907	0.048802586512	0.0305098701472	0.00387081517917	0.0289913477028	0.0384451971457	0.0388465026955	0.0269946624987	0.0411199410195	0.0474765773015	0.0390292853131
ENSG00000143921.6	0	0.0089281150515	0.00557902832759	0	0	0	0.00547478209634	0.00513673926144	0	0	0	0	0	0	0.0101478671238	0	0.00578123661779	0	0.00424992441081	0	0	0	0.00491961685186	0	0	0	0	0	0.00567012731583	0	0	0	0	0	0	0	0	0	0.00774325205168	0	0.00578117466923	0.0268322951936	0.0216899046945	0	0.00409987082799	0.0198813734591	0
ENSG00000234406.1	0	0	0.0518052630419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0575680128526	0	0	0	0	0	0	0	0	0	0	0.0263255911092	0.0475384456536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234286.1	0.560760910257	0.887400526331	1.71555121073	1.30904105286	0.24761487566	1.6523300705	3.26496095927	1.14876168938	4.99767239109	0.594318201188	0.874845999966	1.53395976742	2.59684401162	0.496951179881	0	0.553390381141	1.72385964603	2.54184918288	1.90087528193	1.66730596333	0.801686853037	0.852334604851	0.366735074411	1.40256665767	1.65363763097	1.32475716331	3.59406564057	0.780351148181	0.739693881656	3.57784979963	1.12108652845	0.623432589811	0.393071294479	1.3446688128	0.714589609413	0	5.53875519095	1.15413618452	1.87597879252	1.46008231304	0.538700366906	7.6883673103	0.505276188906	0.468159181796	2.63603058463	0.370516505374	2.81517019175
ENSG00000234936.1	0.125924639081	19.2300307209	1.23278303083	1.21638063524	0.427042338325	0.388960388281	2.51114361468	0.739503311137	2.99274351728	0.686367125743	0.73343454436	0.275573174298	0.758092496482	1.0043595611	1.01924871426	3.08188386884	1.93555220935	1.55672296062	0.882179661305	1.54493690625	0.252037858006	0.411511109079	2.66827409981	1.39017176952	3.05560894624	0.62897434952	1.60494510532	0.186918281725	0.512555290214	4.42215043576	0.311256435664	0.839989262025	0.988603934104	0.341036311376	1.02699813212	0.685870644654	1.35127208812	1.2854989211	0.674032581233	0.596961396225	3.2129822386	1.19030387394	3.41302639763	1.38771556463	1.1530114115	1.46437804762	1.85714497863
ENSG00000232627.1	0	0.353477089875	0	0.107881781131	0	0	0	0	0	0	0	0	0	0	0	0	0.472080644709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0206942572755	0.234857361186	0	0	0	0	0	0	0	0	0	0	0	0.121739897009	1.37748197541	0.07353200373
ENSG00000224643.1	0	0	0	0.0216245446265	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0138375374277	0	0	0	0.01276003439	0.0219611037022	0	0	0	0	0	0	0	0	0	0.0470763778145	0	0	0	0.0327581112272	0	0	0	0	0	0	0	0	0	0
ENSG00000236654.2	0	0.229888179828	0	0.405381861948	0	0	0	0	0	0.0293262604451	0	0.0706461342161	0	0.0858261095689	0	0	0.260504756292	0	0	0.0909323999832	0	0	0	0.16705566554	0	0	0	0	0	0.1318215836	0	0	0	0.0273213470063	0	0	0	0	0.149534541433	0	0	0	0	0.0808535784986	0.395875208572	0	0.446342814912
ENSG00000106541.7	30.1130826228	23.9606914742	27.849617159	27.0267435198	10.9350732706	9.80587451764	73.3566149306	34.7455994943	12.7406061904	3.5185636974	13.6902380138	36.1892830739	0.0734213146519	3.84982140094	9.71495090839	19.4951213088	27.0583667654	9.4224875026	75.8427244351	16.1478682793	3.55609408212	23.3914169693	4.37333187549	0.0583432370054	1.76625355048	1.83827933812	30.824179571	35.1440533969	26.2223059605	2.19159753725	65.1711833374	10.3069257696	26.8006232574	6.61765278949	22.0022553381	2.83051221051	58.3707572537	3.01367472561	76.2507900247	0.308740028281	55.1396654077	0.147666042815	14.8547114704	2.15312084858	2.66913119537	1.4309056581	6.50671002602
ENSG00000106546.8	14.2265615395	6.35229600041	15.0902058232	9.53557685915	45.5643415056	43.9775010096	13.5137097436	18.2621375815	7.97308252927	24.2748528082	10.7116646825	46.6912773614	6.52619823626	13.4438592694	3.68247526762	32.6679152796	9.13294131105	12.9030995977	40.4649907683	11.5172348547	18.7769960971	42.4242159935	2.76052656081	10.63321224	7.08365808718	4.46308236379	7.70260211802	53.9651459685	36.5329171647	8.3303186281	46.4890734384	14.1602777725	9.03346995432	10.0714253663	17.1632770548	4.38756167325	9.68287670678	14.6371792514	4.44252957112	4.87583244682	7.14251502236	22.4059861421	4.74031141284	19.7669338123	8.00803068664	4.43852184804	5.7781516974
